asof,target,target_date,horizon_months,seed,target_series,nowcast_qq,forecast_next_qq,actual_qq,first_print_qq,error_qq,error_first_print_qq,next_target,next_first_print_qq,next_months_with_data,gdp_global_loading,collapsed,collapse_floor,cols,gdp_obs,deflator_skipped,seconds
2023-01-02,2022Q4,2022-12-01,1,13,first_print,0.7175,0.6731,0.8252,0.4799,-0.1077,0.2376,2023Q1,0.2332,0,0.8826,0,0.5,517,170,cpi_monthly_live,62.5
2023-01-09,2022Q4,2022-12-01,1,13,first_print,0.649,0.6335,0.8252,0.4799,-0.1761,0.1691,2023Q1,0.2332,0,0.8732,0,0.5,517,170,cpi_monthly_live,64.6
2023-01-16,2022Q4,2022-12-01,1,13,first_print,0.7598,0.7655,0.8252,0.4799,-0.0653,0.2799,2023Q1,0.2332,0,0.8727,0,0.5,517,170,cpi_monthly_live,64.2
2023-01-23,2022Q4,2022-12-01,1,13,first_print,0.7296,0.6593,0.8252,0.4799,-0.0956,0.2497,2023Q1,0.2332,0,0.9599,0,0.5,517,170,cpi_monthly_live,63.6
2023-01-30,2022Q4,2022-12-01,1,13,first_print,0.6105,0.4712,0.8252,0.4799,-0.2147,0.1306,2023Q1,0.2332,0,0.8997,0,0.5,517,170,cpi_monthly_live,64.6
2023-02-06,2022Q4,2022-12-01,2,13,first_print,0.6609,0.6161,0.8252,0.4799,-0.1643,0.181,2023Q1,0.2332,1,0.9102,0,0.5,518,170,cpi_monthly_live,65.0
2023-02-13,2022Q4,2022-12-01,2,13,first_print,0.6891,0.6533,0.8252,0.4799,-0.136,0.2092,2023Q1,0.2332,1,0.8281,0,0.5,518,170,cpi_monthly_live,64.9
2023-02-20,2022Q4,2022-12-01,2,13,first_print,0.6564,0.6233,0.8252,0.4799,-0.1687,0.1765,2023Q1,0.2332,1,0.9793,0,0.5,518,170,cpi_monthly_live,63.1
2023-03-13,2023Q1,2023-03-01,0,13,first_print,0.5149,0.5154,0.4779,0.2332,0.0369,0.2817,2023Q2,0.3557,0,0.9658,0,0.5,519,171,cpi_monthly_live,67.6
2023-03-20,2023Q1,2023-03-01,0,13,first_print,0.5581,0.6183,0.4779,0.2332,0.0801,0.3249,2023Q2,0.3557,0,0.7285,0,0.5,519,171,cpi_monthly_live,70.2
2023-03-27,2023Q1,2023-03-01,0,13,first_print,0.5111,0.5471,0.4779,0.2332,0.0332,0.2779,2023Q2,0.3557,0,0.9753,0,0.5,519,171,cpi_monthly_live,70.0
2023-04-03,2023Q1,2023-03-01,1,13,first_print,0.5873,0.5981,0.4779,0.2332,0.1094,0.3541,2023Q2,0.3557,0,0.9939,0,0.5,520,171,cpi_monthly_live,70.3
2023-04-10,2023Q1,2023-03-01,1,13,first_print,0.5437,0.5963,0.4779,0.2332,0.0658,0.3105,2023Q2,0.3557,0,0.8756,0,0.5,520,171,cpi_monthly_live,70.3
2023-04-17,2023Q1,2023-03-01,1,13,first_print,0.573,0.6384,0.4779,0.2332,0.0951,0.3398,2023Q2,0.3557,0,0.8744,0,0.5,520,171,cpi_monthly_live,70.3
2023-04-24,2023Q1,2023-03-01,1,13,first_print,0.5132,0.6265,0.4779,0.2332,0.0353,0.28,2023Q2,0.3557,0,0.7656,0,0.5,520,171,cpi_monthly_live,70.3
2023-05-01,2023Q1,2023-03-01,2,13,first_print,0.4817,0.4932,0.4779,0.2332,0.0038,0.2485,2023Q2,0.3557,0,0.8127,0,0.5,521,171,cpi_monthly_live,70.2
2023-05-08,2023Q1,2023-03-01,2,13,first_print,0.4566,0.4383,0.4779,0.2332,-0.0213,0.2234,2023Q2,0.3557,1,0.8127,0,0.5,521,171,cpi_monthly_live,70.3
2023-05-15,2023Q1,2023-03-01,2,13,first_print,0.4162,0.4144,0.4779,0.2332,-0.0617,0.183,2023Q2,0.3557,1,0.7226,0,0.5,521,171,cpi_monthly_live,62.4
2023-05-22,2023Q1,2023-03-01,2,13,first_print,0.4211,0.4229,0.4779,0.2332,-0.0568,0.1879,2023Q2,0.3557,1,0.7124,0,0.5,521,171,cpi_monthly_live,61.0
2023-05-29,2023Q1,2023-03-01,2,13,first_print,0.4265,0.4376,0.4779,0.2332,-0.0514,0.1933,2023Q2,0.3557,1,0.6961,0,0.5,521,171,cpi_monthly_live,60.8
2023-06-05,2023Q2,2023-06-01,0,13,first_print,0.4639,0.6814,0.4551,0.3557,0.0088,0.1082,2023Q3,0.212,0,0.833,0,0.5,522,172,cpi_monthly_live,60.6
2023-06-12,2023Q2,2023-06-01,0,13,first_print,0.5015,0.7089,0.4551,0.3557,0.0464,0.1458,2023Q3,0.212,0,0.8897,0,0.5,522,172,cpi_monthly_live,60.4
2023-06-19,2023Q2,2023-06-01,0,13,first_print,0.4318,0.6518,0.4551,0.3557,-0.0233,0.0761,2023Q3,0.212,0,0.8478,0,0.5,522,172,cpi_monthly_live,60.5
2023-06-26,2023Q2,2023-06-01,0,13,first_print,0.4823,0.631,0.4551,0.3557,0.0271,0.1266,2023Q3,0.212,0,0.7943,0,0.5,522,172,cpi_monthly_live,61.1
2023-07-03,2023Q2,2023-06-01,1,13,first_print,0.4753,0.5576,0.4551,0.3557,0.0201,0.1196,2023Q3,0.212,0,0.8675,0,0.5,523,172,cpi_monthly_live,60.8
2023-07-10,2023Q2,2023-06-01,1,13,first_print,0.3496,0.2854,0.4551,0.3557,-0.1056,-0.0061,2023Q3,0.212,0,0.9102,0,0.5,523,172,cpi_monthly_live,61.0
2023-07-17,2023Q2,2023-06-01,1,13,first_print,0.4224,0.5061,0.4551,0.3557,-0.0327,0.0667,2023Q3,0.212,0,0.9836,0,0.5,523,172,cpi_monthly_live,60.6
2023-07-24,2023Q2,2023-06-01,1,13,first_print,0.4687,0.5357,0.4551,0.3557,0.0136,0.113,2023Q3,0.212,0,0.9506,0,0.5,523,172,cpi_monthly_live,60.7
2023-07-31,2023Q2,2023-06-01,1,13,first_print,0.445,0.4801,0.4551,0.3557,-0.0102,0.0893,2023Q3,0.212,0,1.0521,0,0.5,523,172,cpi_monthly_live,61.2
2023-08-07,2023Q2,2023-06-01,2,13,first_print,0.3724,0.4218,0.4551,0.3557,-0.0828,0.0167,2023Q3,0.212,1,0.8379,0,0.5,524,172,cpi_monthly_live,61.2
2023-08-14,2023Q2,2023-06-01,2,13,first_print,0.4128,0.4614,0.4551,0.3557,-0.0424,0.0571,2023Q3,0.212,1,0.9938,0,0.5,524,172,cpi_monthly_live,60.8
2023-08-21,2023Q2,2023-06-01,2,13,first_print,0.3597,0.3677,0.4551,0.3557,-0.0954,0.004,2023Q3,0.212,1,0.8059,0,0.5,524,172,cpi_monthly_live,53.7
2023-08-28,2023Q2,2023-06-01,2,13,first_print,0.2948,0.3769,0.4551,0.3557,-0.1604,-0.0609,2023Q3,0.212,1,0.817,0,0.5,524,172,cpi_monthly_live,53.7
2023-09-04,2023Q3,2023-09-01,0,13,first_print,0.5093,0.5219,0.4032,0.212,0.106,0.2973,2023Q4,0.2395,0,0.8879,0,0.5,525,173,cpi_monthly_live,53.8
2023-09-11,2023Q3,2023-09-01,0,13,first_print,0.4842,0.6737,0.4032,0.212,0.0809,0.2722,2023Q4,0.2395,0,1.0412,0,0.5,525,173,cpi_monthly_live,53.7
2023-09-18,2023Q3,2023-09-01,0,13,first_print,0.5202,0.6385,0.4032,0.212,0.117,0.3082,2023Q4,0.2395,0,0.9622,0,0.5,525,173,cpi_monthly_live,57.1
2023-09-25,2023Q3,2023-09-01,0,13,first_print,0.432,0.5233,0.4032,0.212,0.0287,0.22,2023Q4,0.2395,0,0.8532,0,0.5,525,173,cpi_monthly_live,56.9
2023-10-02,2023Q3,2023-09-01,1,13,first_print,0.3718,0.3834,0.4032,0.212,-0.0315,0.1598,2023Q4,0.2395,0,0.8921,0,0.5,526,173,cpi_monthly_live,57.6
2023-10-09,2023Q3,2023-09-01,1,13,first_print,0.3339,0.3563,0.4032,0.212,-0.0694,0.1219,2023Q4,0.2395,0,0.8204,0,0.5,526,173,cpi_monthly_live,56.4
2023-10-16,2023Q3,2023-09-01,1,13,first_print,0.3876,0.4673,0.4032,0.212,-0.0156,0.1756,2023Q4,0.2395,0,0.9122,0,0.5,526,173,cpi_monthly_live,57.5
2023-10-23,2023Q3,2023-09-01,1,13,first_print,0.4217,0.4998,0.4032,0.212,0.0185,0.2097,2023Q4,0.2395,0,0.8727,0,0.5,526,173,cpi_monthly_live,57.3
2023-10-30,2023Q3,2023-09-01,1,13,first_print,0.3608,0.375,0.4032,0.212,-0.0424,0.1488,2023Q4,0.2395,0,0.9349,0,0.5,526,173,cpi_monthly_live,57.0
2023-11-06,2023Q3,2023-09-01,2,13,first_print,0.4748,0.5773,0.4032,0.212,0.0716,0.2628,2023Q4,0.2395,1,0.7439,0,0.5,527,173,cpi_monthly_live,57.8
2023-11-13,2023Q3,2023-09-01,2,13,first_print,0.4138,0.4967,0.4032,0.212,0.0106,0.2018,2023Q4,0.2395,1,0.8135,0,0.5,527,173,cpi_monthly_live,66.1
2023-11-20,2023Q3,2023-09-01,2,13,first_print,0.4461,0.5368,0.4032,0.212,0.0429,0.2341,2023Q4,0.2395,1,0.7991,0,0.5,527,173,cpi_monthly_live,59.9
2023-11-27,2023Q3,2023-09-01,2,13,first_print,0.4461,0.5368,0.4032,0.212,0.0429,0.2341,2023Q4,0.2395,1,0.7991,0,0.5,527,173,cpi_monthly_live,57.6
2023-12-04,2023Q4,2023-12-01,0,13,first_print,0.4135,0.472,-0.0078,0.2395,0.4212,0.174,2024Q1,0.1275,0,0.7731,0,0.5,528,174,cpi_monthly_live,54.4
