asof,target,target_date,horizon_months,seed,target_series,nowcast_qq,forecast_next_qq,actual_qq,first_print_qq,error_qq,error_first_print_qq,next_target,next_first_print_qq,next_months_with_data,gdp_global_loading,collapsed,collapse_floor,cols,gdp_obs,deflator_skipped,seconds
2023-01-02,2022Q4,2022-12-01,1,4,first_print,0.6285,0.6181,0.8252,0.4799,-0.1967,0.1486,2023Q1,0.2332,0,0.9212,0,0.5,517,170,cpi_monthly_live,62.1
2023-01-09,2022Q4,2022-12-01,1,4,first_print,0.6786,0.6575,0.8252,0.4799,-0.1466,0.1987,2023Q1,0.2332,0,0.8354,0,0.5,517,170,cpi_monthly_live,64.3
2023-01-16,2022Q4,2022-12-01,1,4,first_print,0.5058,0.4396,0.8252,0.4799,-0.3193,0.0259,2023Q1,0.2332,0,0.7335,0,0.5,517,170,cpi_monthly_live,63.8
2023-01-23,2022Q4,2022-12-01,1,4,first_print,0.5911,0.4946,0.8252,0.4799,-0.234,0.1112,2023Q1,0.2332,0,0.6415,0,0.5,517,170,cpi_monthly_live,63.4
2023-01-30,2022Q4,2022-12-01,1,4,first_print,0.5926,0.4747,0.8252,0.4799,-0.2326,0.1127,2023Q1,0.2332,0,0.7162,0,0.5,517,170,cpi_monthly_live,64.4
2023-02-06,2022Q4,2022-12-01,2,4,first_print,0.5212,0.4133,0.8252,0.4799,-0.304,0.0413,2023Q1,0.2332,1,0.8937,0,0.5,518,170,cpi_monthly_live,64.7
2023-02-13,2022Q4,2022-12-01,2,4,first_print,0.4596,0.4067,0.8252,0.4799,-0.3656,-0.0203,2023Q1,0.2332,1,0.6882,0,0.5,518,170,cpi_monthly_live,64.9
2023-02-20,2022Q4,2022-12-01,2,4,first_print,0.7361,0.6861,0.8252,0.4799,-0.089,0.2562,2023Q1,0.2332,1,1.0707,0,0.5,518,170,cpi_monthly_live,63.1
2023-03-13,2023Q1,2023-03-01,0,4,first_print,0.5479,0.6095,0.4779,0.2332,0.07,0.3147,2023Q2,0.3557,0,0.6638,0,0.5,519,171,cpi_monthly_live,67.1
2023-03-20,2023Q1,2023-03-01,0,4,first_print,0.5991,0.6445,0.4779,0.2332,0.1212,0.3659,2023Q2,0.3557,0,0.7824,0,0.5,519,171,cpi_monthly_live,69.6
2023-03-27,2023Q1,2023-03-01,0,4,first_print,0.6319,0.6499,0.4779,0.2332,0.154,0.3987,2023Q2,0.3557,0,0.9741,0,0.5,519,171,cpi_monthly_live,69.3
2023-04-03,2023Q1,2023-03-01,1,4,first_print,0.6058,0.6282,0.4779,0.2332,0.1279,0.3726,2023Q2,0.3557,0,1.0815,0,0.5,520,171,cpi_monthly_live,70.6
2023-04-10,2023Q1,2023-03-01,1,4,first_print,0.5316,0.597,0.4779,0.2332,0.0537,0.2984,2023Q2,0.3557,0,0.9761,0,0.5,520,171,cpi_monthly_live,70.0
2023-04-17,2023Q1,2023-03-01,1,4,first_print,0.5694,0.6545,0.4779,0.2332,0.0915,0.3362,2023Q2,0.3557,0,0.6433,0,0.5,520,171,cpi_monthly_live,69.9
2023-04-24,2023Q1,2023-03-01,1,4,first_print,0.5632,0.5843,0.4779,0.2332,0.0853,0.33,2023Q2,0.3557,0,0.9985,0,0.5,520,171,cpi_monthly_live,70.0
2023-05-01,2023Q1,2023-03-01,2,4,first_print,0.4894,0.584,0.4779,0.2332,0.0115,0.2562,2023Q2,0.3557,0,0.9315,0,0.5,521,171,cpi_monthly_live,69.9
