asof,target,target_date,horizon_months,seed,target_series,nowcast_qq,forecast_next_qq,actual_qq,first_print_qq,error_qq,error_first_print_qq,gdp_global_loading,collapsed,collapse_floor,cols,gdp_obs,deflator_skipped,seconds
2026-06-01,2026Q1,2026-03-01,3,4,first_print,0.5446,0.3717,0.2743,0.2743,0.2703,0.2703,0.9459,0,-1.0,558,183,,36.9
2026-06-01,2026Q1,2026-03-01,3,13,first_print,0.6067,0.4602,0.2743,0.2743,0.3324,0.3324,0.7995,0,-1.0,558,183,,39.4
2026-06-01,2026Q1,2026-03-01,3,19,first_print,0.5435,0.4629,0.2743,0.2743,0.2692,0.2692,1.0969,0,-1.0,558,183,,41.0
2026-07-01,2026Q2,2026-06-01,1,4,first_print,0.4907,,nan,0.4195,nan,0.0712,1.0991,0,-1.0,559,184,,41.6
2026-07-01,2026Q2,2026-06-01,1,13,first_print,0.4563,,nan,0.4195,nan,0.0368,1.0202,0,-1.0,559,184,,41.8
2026-07-01,2026Q2,2026-06-01,1,19,first_print,0.4471,,nan,0.4195,nan,0.0276,0.9367,0,-1.0,559,184,,41.8
2026-08-01,2026Q2,2026-06-01,2,4,first_print,0.4487,,nan,0.4195,nan,0.0292,0.96,0,-1.0,560,184,,42.7
2026-08-01,2026Q2,2026-06-01,2,13,first_print,0.4464,,nan,0.4195,nan,0.0269,0.9258,0,-1.0,560,184,,43.0
2026-08-01,2026Q2,2026-06-01,2,19,first_print,0.3599,,nan,0.4195,nan,-0.0596,0.9512,0,-1.0,560,184,,42.9
