as_of,target_quarter,target_quarter_date,qoq_growth_forecast,qoq_actual,qoq_error,direction_correct,n_months_in_quarter,n_series_selected,next_target_quarter,next_target_quarter_date,qoq_growth_forecast_next,qoq_actual_next,n_months_in_next_quarter
2012-03-26,2012 Q1,2012-03-01,0.4496849766444603,1.2957,-0.8460150233555398,TRUE,3,12,NA,NA,NA,NA,NA
2012-04-02,2012 Q1,2012-03-01,0.4478648957899181,1.2957,-0.847835104210082,TRUE,3,12,NA,NA,NA,NA,NA
2012-04-09,2012 Q1,2012-03-01,0.4478648957899181,1.2957,-0.847835104210082,TRUE,3,12,NA,NA,NA,NA,NA
2012-04-16,2012 Q1,2012-03-01,0.5203561806608885,1.2957,-0.7753438193391116,TRUE,3,12,2012 Q2,2012-06-01,0.6036495981208386,0.6439,1
2012-04-23,2012 Q1,2012-03-01,0.5203561806608885,1.2957,-0.7753438193391116,TRUE,3,12,2012 Q2,2012-06-01,0.6036495981208386,0.6439,1
2012-04-30,2012 Q1,2012-03-01,0.5384785738481515,1.2957,-0.7572214261518486,TRUE,3,12,2012 Q2,2012-06-01,0.5829242384834379,0.6439,1
2012-05-07,2012 Q1,2012-03-01,0.5384785738481515,1.2957,-0.7572214261518486,TRUE,3,12,2012 Q2,2012-06-01,0.5829242384834379,0.6439,1
2012-05-14,2012 Q1,2012-03-01,0.5377641473616095,1.2957,-0.7579358526383906,TRUE,3,12,2012 Q2,2012-06-01,0.5813422821203643,0.6439,1
2012-05-21,2012 Q1,2012-03-01,0.5423866396558269,1.2957,-0.7533133603441732,TRUE,3,12,2012 Q2,2012-06-01,0.6241922173903323,0.6439,2
2012-05-28,2012 Q1,2012-03-01,0.5423866396558269,1.2957,-0.7533133603441732,TRUE,3,12,2012 Q2,2012-06-01,0.6241922173903323,0.6439,2
2012-06-04,2012 Q2,2012-06-01,0.5266391860399702,0.6439,-0.11726081396002985,TRUE,2,12,NA,NA,NA,NA,NA
2012-06-11,2012 Q2,2012-06-01,0.5095921278040503,0.6439,-0.13430787219594975,TRUE,2,12,NA,NA,NA,NA,NA
2012-06-18,2012 Q2,2012-06-01,0.47723272116469967,0.6439,-0.16666727883530036,TRUE,3,12,NA,NA,NA,NA,NA
2012-06-25,2012 Q2,2012-06-01,0.47723272116469967,0.6439,-0.16666727883530036,TRUE,3,12,NA,NA,NA,NA,NA
2012-07-02,2012 Q2,2012-06-01,0.49173447580528995,0.6439,-0.15216552419471008,TRUE,3,12,NA,NA,NA,NA,NA
2012-07-09,2012 Q2,2012-06-01,0.49173447580528995,0.6439,-0.15216552419471008,TRUE,3,12,NA,NA,NA,NA,NA
2012-07-16,2012 Q2,2012-06-01,0.4041509560651162,0.6439,-0.23974904393488383,TRUE,3,12,2012 Q3,2012-09-01,0.4105245702192916,0.4682,1
2012-07-23,2012 Q2,2012-06-01,0.4041509560651162,0.6439,-0.23974904393488383,TRUE,3,12,2012 Q3,2012-09-01,0.4105245702192916,0.4682,1
2012-07-30,2012 Q2,2012-06-01,0.39841531205799746,0.6439,-0.24548468794200257,TRUE,3,12,2012 Q3,2012-09-01,0.39445837651160676,0.4682,1
2012-08-06,2012 Q2,2012-06-01,0.39841531205799746,0.6439,-0.24548468794200257,TRUE,3,12,2012 Q3,2012-09-01,0.39445837651160676,0.4682,1
2012-08-13,2012 Q2,2012-06-01,0.39128167299149147,0.6439,-0.25261832700850856,TRUE,3,12,2012 Q3,2012-09-01,0.39421524789433815,0.4682,1
2012-08-20,2012 Q2,2012-06-01,0.4001230326665625,0.6439,-0.2437769673334375,TRUE,3,12,2012 Q3,2012-09-01,0.48415972529874757,0.4682,2
2012-08-27,2012 Q2,2012-06-01,0.4001230326665625,0.6439,-0.2437769673334375,TRUE,3,12,2012 Q3,2012-09-01,0.48415972529874757,0.4682,2
2012-09-03,2012 Q3,2012-09-01,0.4531275231091032,0.4682,-0.015072476890896802,TRUE,2,12,NA,NA,NA,NA,NA
2012-09-10,2012 Q3,2012-09-01,0.43236225096408554,0.4682,-0.03583774903591447,TRUE,2,12,NA,NA,NA,NA,NA
2012-09-17,2012 Q3,2012-09-01,0.5793503192581967,0.4682,0.11115031925819668,TRUE,3,12,NA,NA,NA,NA,NA
2012-09-24,2012 Q3,2012-09-01,0.5793503192581967,0.4682,0.11115031925819668,TRUE,3,12,NA,NA,NA,NA,NA
2012-10-01,2012 Q3,2012-09-01,0.5268945736345837,0.4682,0.05869457363458369,TRUE,3,12,NA,NA,NA,NA,NA
2012-10-08,2012 Q3,2012-09-01,0.5268945736345837,0.4682,0.05869457363458369,TRUE,3,12,NA,NA,NA,NA,NA
2012-10-15,2012 Q3,2012-09-01,0.5516635161455802,0.4682,0.08346351614558017,TRUE,3,12,NA,NA,NA,NA,NA
2012-10-22,2012 Q3,2012-09-01,0.5538817463641001,0.4682,0.08568174636410014,TRUE,3,12,2012 Q4,2012-12-01,0.6328898980989075,0.5957,1
2012-10-29,2012 Q3,2012-09-01,0.5538817463641001,0.4682,0.08568174636410014,TRUE,3,12,2012 Q4,2012-12-01,0.6328898980989075,0.5957,1
2012-11-05,2012 Q3,2012-09-01,0.5075389927985376,0.4682,0.03933899279853764,TRUE,3,12,2012 Q4,2012-12-01,0.5148456452262826,0.5957,1
2012-11-12,2012 Q3,2012-09-01,0.5066514984839946,0.4682,0.038451498483994595,TRUE,3,12,2012 Q4,2012-12-01,0.4865527682532834,0.5957,1
2012-11-19,2012 Q3,2012-09-01,0.510037855746552,0.4682,0.04183785574655202,TRUE,3,12,2012 Q4,2012-12-01,0.4707191255087618,0.5957,2
2012-11-26,2012 Q3,2012-09-01,0.510037855746552,0.4682,0.04183785574655202,TRUE,3,12,2012 Q4,2012-12-01,0.4707191255087618,0.5957,2
2012-12-03,2012 Q4,2012-12-01,0.41098587967424305,0.5957,-0.18471412032575696,TRUE,2,12,NA,NA,NA,NA,NA
2012-12-10,2012 Q4,2012-12-01,0.3755768838328718,0.5957,-0.2201231161671282,TRUE,2,12,NA,NA,NA,NA,NA
