asof,target,target_date,horizon_months,seed,target_series,nowcast_qq,forecast_next_qq,actual_qq,first_print_qq,error_qq,error_first_print_qq,gdp_global_loading,collapsed,collapse_floor,cols,gdp_obs,deflator_skipped,seconds
2023-01-02,2022Q4,2022-12-01,1,19,first_print,0.7278,,0.8252,0.4799,-0.0973,0.2479,1.0047,0,0.5,517,170,cpi_monthly_live,104.1
2023-01-09,2022Q4,2022-12-01,1,19,first_print,0.6775,,0.8252,0.4799,-0.1477,0.1976,0.9005,0,0.5,517,170,cpi_monthly_live,67.0
2023-01-16,2022Q4,2022-12-01,1,19,first_print,0.6407,,0.8252,0.4799,-0.1844,0.1608,0.9163,0,0.5,517,170,cpi_monthly_live,59.7
2023-01-23,2022Q4,2022-12-01,1,19,first_print,0.6327,,0.8252,0.4799,-0.1924,0.1528,0.8673,0,0.5,517,170,cpi_monthly_live,60.0
2023-01-30,2022Q4,2022-12-01,1,19,first_print,0.6661,,0.8252,0.4799,-0.1591,0.1862,0.8985,0,0.5,517,170,cpi_monthly_live,59.9
2023-02-06,2022Q4,2022-12-01,2,19,first_print,0.6564,,0.8252,0.4799,-0.1687,0.1765,1.013,0,0.5,518,170,cpi_monthly_live,61.6
2023-02-13,2022Q4,2022-12-01,2,19,first_print,0.6393,,0.8252,0.4799,-0.1858,0.1594,1.122,0,0.5,518,170,cpi_monthly_live,63.0
2023-02-20,2022Q4,2022-12-01,2,19,first_print,0.6574,,0.8252,0.4799,-0.1677,0.1775,1.0052,0,0.5,518,170,cpi_monthly_live,63.7
2023-03-13,2023Q1,2023-03-01,0,19,first_print,0.4692,,0.4779,0.2332,-0.0087,0.236,0.9385,0,0.5,519,171,cpi_monthly_live,65.2
2023-03-20,2023Q1,2023-03-01,0,19,first_print,0.4879,,0.4779,0.2332,0.01,0.2547,0.8697,0,0.5,519,171,cpi_monthly_live,65.3
2023-03-27,2023Q1,2023-03-01,0,19,first_print,0.5652,,0.4779,0.2332,0.0873,0.332,0.8221,0,0.5,519,171,cpi_monthly_live,61.8
2023-04-03,2023Q1,2023-03-01,1,19,first_print,0.5985,,0.4779,0.2332,0.1206,0.3653,0.9423,0,0.5,520,171,cpi_monthly_live,65.3
2023-04-10,2023Q1,2023-03-01,1,19,first_print,0.4157,,0.4779,0.2332,-0.0622,0.1825,1.3188,0,0.5,520,171,cpi_monthly_live,68.1
2023-04-17,2023Q1,2023-03-01,1,19,first_print,0.5377,,0.4779,0.2332,0.0597,0.3045,0.9464,0,0.5,520,171,cpi_monthly_live,64.8
2023-04-24,2023Q1,2023-03-01,1,19,first_print,0.5931,,0.4779,0.2332,0.1152,0.3599,1.2689,0,0.5,520,171,cpi_monthly_live,70.3
2023-05-01,2023Q1,2023-03-01,2,19,first_print,0.546,,0.4779,0.2332,0.0681,0.3128,1.0404,0,0.5,521,171,cpi_monthly_live,68.8
2023-05-08,2023Q1,2023-03-01,2,19,first_print,0.5572,,0.4779,0.2332,0.0793,0.324,0.9481,0,0.5,521,171,cpi_monthly_live,63.0
2023-05-15,2023Q1,2023-03-01,2,19,first_print,0.4803,,0.4779,0.2332,0.0024,0.2471,1.0067,0,0.5,521,171,cpi_monthly_live,64.5
2023-05-22,2023Q1,2023-03-01,2,19,first_print,0.4905,,0.4779,0.2332,0.0125,0.2573,0.9214,0,0.5,521,171,cpi_monthly_live,61.2
2023-05-29,2023Q1,2023-03-01,2,19,first_print,0.5486,,0.4779,0.2332,0.0707,0.3154,0.9299,0,0.5,521,171,cpi_monthly_live,61.1
2023-06-05,2023Q2,2023-06-01,0,19,first_print,,,0.4551,0.3557,,,0.1731,1,0.5,522,172,cpi_monthly_live,61.1
2023-06-12,2023Q2,2023-06-01,0,19,first_print,0.4124,,0.4551,0.3557,-0.0427,0.0567,0.7108,0,0.5,522,172,cpi_monthly_live,67.0
2023-06-19,2023Q2,2023-06-01,0,19,first_print,,,0.4551,0.3557,,,0.0949,1,0.5,522,172,cpi_monthly_live,65.3
2023-06-26,2023Q2,2023-06-01,0,19,first_print,0.3337,,0.4551,0.3557,-0.1214,-0.022,0.5854,0,0.5,522,172,cpi_monthly_live,65.3
2023-07-03,2023Q2,2023-06-01,1,19,first_print,0.4053,,0.4551,0.3557,-0.0498,0.0496,0.9829,0,0.5,523,172,cpi_monthly_live,65.7
2023-07-10,2023Q2,2023-06-01,1,19,first_print,0.5152,,0.4551,0.3557,0.0601,0.1595,1.0895,0,0.5,523,172,cpi_monthly_live,65.0
2023-07-17,2023Q2,2023-06-01,1,19,first_print,0.4361,,0.4551,0.3557,-0.019,0.0804,1.0078,0,0.5,523,172,cpi_monthly_live,66.8
2023-07-24,2023Q2,2023-06-01,1,19,first_print,0.5218,,0.4551,0.3557,0.0666,0.1661,0.9814,0,0.5,523,172,cpi_monthly_live,64.6
2023-07-31,2023Q2,2023-06-01,1,19,first_print,0.5036,,0.4551,0.3557,0.0485,0.1479,0.9765,0,0.5,523,172,cpi_monthly_live,65.6
2023-08-07,2023Q2,2023-06-01,2,19,first_print,0.3584,,0.4551,0.3557,-0.0968,0.0027,0.9029,0,0.5,524,172,cpi_monthly_live,65.4
2023-08-14,2023Q2,2023-06-01,2,19,first_print,0.3688,,0.4551,0.3557,-0.0863,0.0131,0.7864,0,0.5,524,172,cpi_monthly_live,66.2
2023-08-21,2023Q2,2023-06-01,2,19,first_print,0.4466,,0.4551,0.3557,-0.0085,0.0909,0.8741,0,0.5,524,172,cpi_monthly_live,66.4
2023-08-28,2023Q2,2023-06-01,2,19,first_print,0.3907,,0.4551,0.3557,-0.0644,0.035,0.8802,0,0.5,524,172,cpi_monthly_live,62.4
2023-09-04,2023Q3,2023-09-01,0,19,first_print,0.4238,,0.4032,0.212,0.0206,0.2118,0.8402,0,0.5,525,173,cpi_monthly_live,63.4
2023-09-11,2023Q3,2023-09-01,0,19,first_print,0.5273,,0.4032,0.212,0.1241,0.3153,0.9,0,0.5,525,173,cpi_monthly_live,64.8
2023-09-18,2023Q3,2023-09-01,0,19,first_print,0.5236,,0.4032,0.212,0.1204,0.3116,0.8373,0,0.5,525,173,cpi_monthly_live,75.2
2023-09-25,2023Q3,2023-09-01,0,19,first_print,0.4476,,0.4032,0.212,0.0444,0.2356,0.9086,0,0.5,525,173,cpi_monthly_live,57.3
2023-10-02,2023Q3,2023-09-01,1,19,first_print,0.4044,,0.4032,0.212,0.0011,0.1924,0.8891,0,0.5,526,173,cpi_monthly_live,67.9
2023-10-09,2023Q3,2023-09-01,1,19,first_print,0.3256,,0.4032,0.212,-0.0776,0.1136,0.9521,0,0.5,526,173,cpi_monthly_live,74.9
2023-10-16,2023Q3,2023-09-01,1,19,first_print,0.491,,0.4032,0.212,0.0877,0.279,1.0317,0,0.5,526,173,cpi_monthly_live,67.8
2023-10-23,2023Q3,2023-09-01,1,19,first_print,0.5023,,0.4032,0.212,0.0991,0.2903,1.0069,0,0.5,526,173,cpi_monthly_live,95.8
2023-10-30,2023Q3,2023-09-01,1,19,first_print,0.4411,,0.4032,0.212,0.0379,0.2291,1.0394,0,0.5,526,173,cpi_monthly_live,69.6
2023-11-06,2023Q3,2023-09-01,2,19,first_print,0.5001,,0.4032,0.212,0.0968,0.2881,0.8569,0,0.5,527,173,cpi_monthly_live,62.5
2023-11-13,2023Q3,2023-09-01,2,19,first_print,0.4847,,0.4032,0.212,0.0815,0.2727,0.707,0,0.5,527,173,cpi_monthly_live,74.2
2023-11-20,2023Q3,2023-09-01,2,19,first_print,0.5325,,0.4032,0.212,0.1293,0.3205,0.768,0,0.5,527,173,cpi_monthly_live,83.6
