asof,target,target_date,horizon_months,seed,target_series,nowcast_qq,forecast_next_qq,actual_qq,first_print_qq,error_qq,error_first_print_qq,gdp_global_loading,collapsed,collapse_floor,cols,gdp_obs,deflator_skipped,seconds
2023-01-02,2022Q4,2022-12-01,1,13,first_print,0.7175,,0.8252,0.4799,-0.1077,0.2376,0.8826,0,0.5,517,170,cpi_monthly_live,104.7
2023-01-09,2022Q4,2022-12-01,1,13,first_print,0.649,,0.8252,0.4799,-0.1761,0.1691,0.8732,0,0.5,517,170,cpi_monthly_live,67.3
2023-01-16,2022Q4,2022-12-01,1,13,first_print,0.7598,,0.8252,0.4799,-0.0653,0.2799,0.8727,0,0.5,517,170,cpi_monthly_live,60.2
2023-01-23,2022Q4,2022-12-01,1,13,first_print,0.7296,,0.8252,0.4799,-0.0956,0.2497,0.9599,0,0.5,517,170,cpi_monthly_live,60.3
2023-01-30,2022Q4,2022-12-01,1,13,first_print,0.6105,,0.8252,0.4799,-0.2147,0.1306,0.8997,0,0.5,517,170,cpi_monthly_live,60.4
2023-02-06,2022Q4,2022-12-01,2,13,first_print,0.6609,,0.8252,0.4799,-0.1643,0.181,0.9102,0,0.5,518,170,cpi_monthly_live,61.9
2023-02-13,2022Q4,2022-12-01,2,13,first_print,0.6891,,0.8252,0.4799,-0.136,0.2092,0.8281,0,0.5,518,170,cpi_monthly_live,63.5
2023-02-20,2022Q4,2022-12-01,2,13,first_print,0.6564,,0.8252,0.4799,-0.1687,0.1765,0.9793,0,0.5,518,170,cpi_monthly_live,64.1
2023-03-13,2023Q1,2023-03-01,0,13,first_print,0.5149,,0.4779,0.2332,0.0369,0.2817,0.9658,0,0.5,519,171,cpi_monthly_live,65.4
2023-03-20,2023Q1,2023-03-01,0,13,first_print,0.5581,,0.4779,0.2332,0.0801,0.3249,0.7285,0,0.5,519,171,cpi_monthly_live,65.1
2023-03-27,2023Q1,2023-03-01,0,13,first_print,0.5111,,0.4779,0.2332,0.0332,0.2779,0.9753,0,0.5,519,171,cpi_monthly_live,61.9
2023-04-03,2023Q1,2023-03-01,1,13,first_print,0.5873,,0.4779,0.2332,0.1094,0.3541,0.9939,0,0.5,520,171,cpi_monthly_live,66.1
2023-04-10,2023Q1,2023-03-01,1,13,first_print,0.5437,,0.4779,0.2332,0.0658,0.3105,0.8756,0,0.5,520,171,cpi_monthly_live,68.0
2023-04-17,2023Q1,2023-03-01,1,13,first_print,0.573,,0.4779,0.2332,0.0951,0.3398,0.8744,0,0.5,520,171,cpi_monthly_live,65.7
2023-04-24,2023Q1,2023-03-01,1,13,first_print,0.5132,,0.4779,0.2332,0.0353,0.28,0.7656,0,0.5,520,171,cpi_monthly_live,71.2
2023-05-01,2023Q1,2023-03-01,2,13,first_print,0.4817,,0.4779,0.2332,0.0038,0.2485,0.8127,0,0.5,521,171,cpi_monthly_live,68.9
2023-05-08,2023Q1,2023-03-01,2,13,first_print,0.4566,,0.4779,0.2332,-0.0213,0.2234,0.8127,0,0.5,521,171,cpi_monthly_live,62.6
2023-05-15,2023Q1,2023-03-01,2,13,first_print,0.4162,,0.4779,0.2332,-0.0617,0.183,0.7226,0,0.5,521,171,cpi_monthly_live,64.3
2023-05-22,2023Q1,2023-03-01,2,13,first_print,0.4211,,0.4779,0.2332,-0.0568,0.1879,0.7124,0,0.5,521,171,cpi_monthly_live,61.6
2023-05-29,2023Q1,2023-03-01,2,13,first_print,0.4265,,0.4779,0.2332,-0.0514,0.1933,0.6961,0,0.5,521,171,cpi_monthly_live,61.6
2023-06-05,2023Q2,2023-06-01,0,13,first_print,0.4639,,0.4551,0.3557,0.0088,0.1082,0.833,0,0.5,522,172,cpi_monthly_live,62.3
2023-06-12,2023Q2,2023-06-01,0,13,first_print,0.5015,,0.4551,0.3557,0.0464,0.1458,0.8897,0,0.5,522,172,cpi_monthly_live,67.0
2023-06-19,2023Q2,2023-06-01,0,13,first_print,0.4318,,0.4551,0.3557,-0.0233,0.0761,0.8478,0,0.5,522,172,cpi_monthly_live,65.4
2023-06-26,2023Q2,2023-06-01,0,13,first_print,0.4823,,0.4551,0.3557,0.0271,0.1266,0.7943,0,0.5,522,172,cpi_monthly_live,66.0
2023-07-03,2023Q2,2023-06-01,1,13,first_print,0.4753,,0.4551,0.3557,0.0201,0.1196,0.8675,0,0.5,523,172,cpi_monthly_live,66.5
2023-07-10,2023Q2,2023-06-01,1,13,first_print,0.3496,,0.4551,0.3557,-0.1056,-0.0061,0.9102,0,0.5,523,172,cpi_monthly_live,65.8
2023-07-17,2023Q2,2023-06-01,1,13,first_print,0.4224,,0.4551,0.3557,-0.0327,0.0667,0.9836,0,0.5,523,172,cpi_monthly_live,66.7
2023-07-24,2023Q2,2023-06-01,1,13,first_print,0.4687,,0.4551,0.3557,0.0136,0.113,0.9506,0,0.5,523,172,cpi_monthly_live,64.5
2023-07-31,2023Q2,2023-06-01,1,13,first_print,0.445,,0.4551,0.3557,-0.0102,0.0893,1.0521,0,0.5,523,172,cpi_monthly_live,66.3
2023-08-07,2023Q2,2023-06-01,2,13,first_print,0.3724,,0.4551,0.3557,-0.0828,0.0167,0.8379,0,0.5,524,172,cpi_monthly_live,65.5
2023-08-14,2023Q2,2023-06-01,2,13,first_print,0.4128,,0.4551,0.3557,-0.0424,0.0571,0.9938,0,0.5,524,172,cpi_monthly_live,66.9
2023-08-21,2023Q2,2023-06-01,2,13,first_print,0.3597,,0.4551,0.3557,-0.0954,0.004,0.8059,0,0.5,524,172,cpi_monthly_live,66.7
2023-08-28,2023Q2,2023-06-01,2,13,first_print,0.2948,,0.4551,0.3557,-0.1604,-0.0609,0.817,0,0.5,524,172,cpi_monthly_live,62.6
2023-09-04,2023Q3,2023-09-01,0,13,first_print,0.5093,,0.4032,0.212,0.106,0.2973,0.8879,0,0.5,525,173,cpi_monthly_live,63.6
2023-09-11,2023Q3,2023-09-01,0,13,first_print,0.4842,,0.4032,0.212,0.0809,0.2722,1.0412,0,0.5,525,173,cpi_monthly_live,68.9
2023-09-18,2023Q3,2023-09-01,0,13,first_print,0.5202,,0.4032,0.212,0.117,0.3082,0.9622,0,0.5,525,173,cpi_monthly_live,72.3
2023-09-25,2023Q3,2023-09-01,0,13,first_print,0.432,,0.4032,0.212,0.0287,0.22,0.8532,0,0.5,525,173,cpi_monthly_live,56.8
2023-10-02,2023Q3,2023-09-01,1,13,first_print,0.3718,,0.4032,0.212,-0.0315,0.1598,0.8921,0,0.5,526,173,cpi_monthly_live,80.5
2023-10-09,2023Q3,2023-09-01,1,13,first_print,0.3339,,0.4032,0.212,-0.0694,0.1219,0.8204,0,0.5,526,173,cpi_monthly_live,64.0
2023-10-16,2023Q3,2023-09-01,1,13,first_print,0.3876,,0.4032,0.212,-0.0156,0.1756,0.9122,0,0.5,526,173,cpi_monthly_live,73.5
2023-10-23,2023Q3,2023-09-01,1,13,first_print,0.4217,,0.4032,0.212,0.0185,0.2097,0.8727,0,0.5,526,173,cpi_monthly_live,101.3
2023-10-30,2023Q3,2023-09-01,1,13,first_print,0.3608,,0.4032,0.212,-0.0424,0.1488,0.9349,0,0.5,526,173,cpi_monthly_live,59.7
2023-11-06,2023Q3,2023-09-01,2,13,first_print,0.4748,,0.4032,0.212,0.0716,0.2628,0.7439,0,0.5,527,173,cpi_monthly_live,78.3
2023-11-13,2023Q3,2023-09-01,2,13,first_print,0.4138,,0.4032,0.212,0.0106,0.2018,0.8135,0,0.5,527,173,cpi_monthly_live,59.7
2023-11-20,2023Q3,2023-09-01,2,13,first_print,0.4461,,0.4032,0.212,0.0429,0.2341,0.7991,0,0.5,527,173,cpi_monthly_live,98.9
2023-11-27,2023Q3,2023-09-01,2,13,first_print,0.4461,,0.4032,0.212,0.0429,0.2341,0.7991,0,0.5,527,173,cpi_monthly_live,84.8
2023-12-04,2023Q4,2023-12-01,0,13,first_print,0.4135,,-0.0078,0.2395,0.4212,0.174,0.7731,0,0.5,528,174,cpi_monthly_live,73.1
2023-12-11,2023Q4,2023-12-01,0,13,first_print,0.2244,,-0.0078,0.2395,0.2322,-0.0151,0.8458,0,0.5,528,174,cpi_monthly_live,72.1
2023-12-18,2023Q4,2023-12-01,0,13,first_print,0.247,,-0.0078,0.2395,0.2548,0.0075,0.8179,0,0.5,528,174,cpi_monthly_live,53.6
2023-12-25,2023Q4,2023-12-01,0,13,first_print,0.3716,,-0.0078,0.2395,0.3794,0.1321,0.6317,0,0.5,528,174,cpi_monthly_live,56.3
2024-01-01,2023Q4,2023-12-01,1,13,first_print,0.3836,,-0.0078,0.2395,0.3914,0.1441,0.8458,0,0.5,529,174,cpi_monthly_live,57.0
2024-01-08,2023Q4,2023-12-01,1,13,first_print,0.3372,,-0.0078,0.2395,0.345,0.0977,0.8764,0,0.5,529,174,cpi_monthly_live,54.2
