quarter,qoq_pct,release_date,source
1992Q3,0.5295,,rba_rdp_2024_04
1992Q4,0.7026,,rba_rdp_2024_04
1993Q1,0.452,,rba_rdp_2024_04
1993Q2,1.2264,,rba_rdp_2024_04
1993Q3,0.4466,,rba_rdp_2024_04
1993Q4,1.6634,,rba_rdp_2024_04
1994Q1,1.8605,,rba_rdp_2024_04
1994Q2,0.9355,,rba_rdp_2024_04
1994Q3,1.3027,,rba_rdp_2024_04
1994Q4,0.3986,,rba_rdp_2024_04
1995Q1,0.5172,,rba_rdp_2024_04
1995Q2,0.9854,,rba_rdp_2024_04
1995Q3,1.5755,,rba_rdp_2024_04
1995Q4,0.4685,,rba_rdp_2024_04
1996Q1,1.7828,,rba_rdp_2024_04
1996Q2,0.0829,,rba_rdp_2024_04
1996Q3,0.778,,rba_rdp_2024_04
1996Q4,0.4615,,rba_rdp_2024_04
1997Q1,0.9152,,rba_rdp_2024_04
1997Q2,1.2406,,rba_rdp_2024_04
1997Q3,1.4518,,rba_rdp_2024_04
1997Q4,0.455,,rba_rdp_2024_04
1998Q1,1.2607,,rba_rdp_2024_04
1998Q2,0.7696,,rba_rdp_2024_04
1998Q3,1.0402,,rba_rdp_2024_04
1998Q4,1.0567,,rba_rdp_2024_04
1999Q1,1.0624,,rba_rdp_2024_04
1999Q2,0.2298,,rba_rdp_2024_04
1999Q3,1.5624,,rba_rdp_2024_04
1999Q4,0.9899,,rba_rdp_2024_04
2000Q1,1.0895,,rba_rdp_2024_04
2000Q2,0.6923,,rba_rdp_2024_04
2000Q3,0.6496,,rba_rdp_2024_04
2000Q4,-0.565,,rba_rdp_2024_04
2001Q1,1.0621,,rba_rdp_2024_04
2001Q2,0.8895,,rba_rdp_2024_04
2001Q3,1.1357,,rba_rdp_2024_04
2001Q4,1.2715,,rba_rdp_2024_04
2002Q1,0.8851,,rba_rdp_2024_04
2002Q2,0.6042,,rba_rdp_2024_04
2002Q3,0.8654,,rba_rdp_2024_04
2002Q4,0.3877,,rba_rdp_2024_04
2003Q1,0.6817,,rba_rdp_2024_04
2003Q2,0.1227,,rba_rdp_2024_04
2003Q3,1.1768,,rba_rdp_2024_04
2003Q4,1.3519,,rba_rdp_2024_04
2004Q1,0.2183,,rba_rdp_2024_04
2004Q2,0.6136,,rba_rdp_2024_04
2004Q3,0.2937,,rba_rdp_2024_04
2004Q4,0.144,,rba_rdp_2024_04
2005Q1,0.6876,,rba_rdp_2024_04
2005Q2,1.282,,rba_rdp_2024_04
2005Q3,0.1507,,rba_rdp_2024_04
2005Q4,0.4715,,rba_rdp_2024_04
2006Q1,0.8653,,rba_rdp_2024_04
2006Q2,0.3267,,rba_rdp_2024_04
2006Q3,0.2967,,rba_rdp_2024_04
2006Q4,1.044,,rba_rdp_2024_04
2007Q1,1.6124,,rba_rdp_2024_04
2007Q2,0.9437,,rba_rdp_2024_04
2007Q3,1.0075,,rba_rdp_2024_04
2007Q4,0.6046,,rba_rdp_2024_04
2008Q1,0.613,,rba_rdp_2024_04
2008Q2,0.2836,,rba_rdp_2024_04
2008Q3,0.0626,,rba_rdp_2024_04
2008Q4,-0.5315,,rba_rdp_2024_04
2009Q1,0.3814,,rba_rdp_2024_04
2009Q2,0.6177,,rba_rdp_2024_04
2009Q3,0.1685,,rba_rdp_2024_04
2009Q4,0.9015,,rba_rdp_2024_04
2010Q1,0.4986,,rba_rdp_2024_04
2010Q2,1.1947,,rba_rdp_2024_04
2010Q3,0.1907,,rba_rdp_2024_04
2010Q4,0.7431,,rba_rdp_2024_04
2011Q1,-1.1899,,rba_rdp_2024_04
2011Q2,1.1735,,rba_rdp_2024_04
2011Q3,0.951,,rba_rdp_2024_04
2011Q4,0.4332,,rba_rdp_2024_04
2012Q1,1.2957,,rba_rdp_2024_04
2012Q2,0.6439,,rba_rdp_2024_04
2012Q3,0.4682,,rba_rdp_2024_04
2012Q4,0.5957,,rba_rdp_2024_04
2013Q1,0.5535,,rba_rdp_2024_04
2013Q2,0.5919,,rba_rdp_2024_04
2013Q3,0.5607,,rba_rdp_2024_04
2013Q4,0.7977,,rba_rdp_2024_04
2014Q1,1.1083,,rba_rdp_2024_04
2014Q2,0.4871,,rba_rdp_2024_04
2014Q3,0.3387,,rba_rdp_2024_04
2014Q4,0.5494,,rba_rdp_2024_04
2015Q1,0.9321,,rba_rdp_2024_04
2015Q2,0.1653,,rba_rdp_2024_04
2015Q3,0.9411,,rba_rdp_2024_04
2015Q4,0.632,,rba_rdp_2024_04
2016Q1,1.063,,rba_rdp_2024_04
2016Q2,0.5256,,rba_rdp_2024_04
2016Q3,-0.4732,,rba_rdp_2024_04
2016Q4,1.084,,rba_rdp_2024_04
2017Q1,0.2649,,rba_rdp_2024_04
2017Q2,0.8241,,rba_rdp_2024_04
2017Q3,0.5963,,rba_rdp_2024_04
2017Q4,0.3649,,rba_rdp_2024_04
2018Q1,1.0305,,rba_rdp_2024_04
2018Q2,0.8634,,rba_rdp_2024_04
2018Q3,0.253,,rba_rdp_2024_04
2018Q4,0.1775,,rba_rdp_2024_04
2019Q1,0.4058,,rba_rdp_2024_04
2019Q2,0.4814,2019-09-04,abs_5206.0_jun-2019
2019Q3,0.439,2019-12-04,abs_5206.0_sep-2019
2019Q4,0.5265,2020-03-04,abs_5206.0_dec-2019
2020Q1,-0.3059,2020-06-03,abs_5206.0_mar-2020
2020Q2,-6.9971,2020-09-02,abs_5206.0_jun-2020
2020Q3,3.3281,2020-12-02,abs_5206.0_sep-2020
2020Q4,3.1277,2021-03-03,abs_5206.0_dec-2020
2021Q1,1.7868,2021-06-02,abs_5206.0_mar-2021
2021Q2,0.6668,2021-09-01,abs_5206.0_jun-2021
2021Q3,-1.9221,2021-12-01,abs_5206.0_sep-2021
2021Q4,3.4268,2022-03-02,abs_5206.0_dec-2021
2022Q1,0.7544,2022-06-01,abs_5206.0_mar-2022
