Date,RT-DGDP-QTR
1/03/2020,-0.305863246
1/06/2020,-6.997135639
1/09/2020,3.328123983
1/12/2020,3.127661985
1/03/2021,1.786827934
1/06/2021,0.666815468
1/09/2021,-1.922074081
1/12/2021,3.426812884
1/03/2022,0.754403551
1/06/2022,0.892928115
