,emp,ft_emp,pt_emp,ue,ud,hours,doe_ads,anz_ads,nab_cond,nab_profit,nab_trade,nab_emp,nab_forward,nab_stocks,nab_conf,nab_cu,aig_pmi,aig_psi,aig_pci,new_reg,anz_finance,anz_sent,wmi_finance,wmi_sent,rt,mv,arrivals,export,import,res_ba,hs_ba,nh_ba,alt_add,non_res_ba,acr,credit,credit_housing,credit_personal,credit_business,firmmbab90,fcmygbag3,fcmygbag5,fcmygbag10,scrigbag3,scrigbag5,scrigbag10,twi,asx200,icp,house_prices,mt103s,credit_card,debit_card
tcode,t2,t2,t2,t2,t2,t2,t2,t2,t1,t1,t1,t1,t1,t1,t1,t1,t1,t1,t1,t1,t1,t1,t1,t1,t2,t2,t2,t2,t2,t2,t2,t2,t2,t2,t1,t2,t2,t2,t2,t2,t2,t2,t2,t1,t1,t1,t2,t2,t2,t2,t2,t2,t2
tlog,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tgroup,H,H,H,H,H,H,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,H,H,H,H,H,H,H,H,H,H,S,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
longname,Employment,FT Employment,PT Employment,Unemployment,Underemployment,Hours worked,Job Ads,ANZ Job vacancies,NAB Business Conditions,NAB Profitability,NAB Trading Conditions,NAB Employment,NAB Forward Orders,NAB Stocks,NAB Business Confidence,NAB Capacity Utilisation,AiG PMI,AiG PSI,AiG PCI,New Company Registrations,ANZ-Roy Morgan Financial Situation,ANZ-Roy Morgan Consumer Confidence,WMI Family Finances,WMI Consumer Sentiment,Retail Sales,New Vehicles,Passengers,Exports,Imports,Residential approvals,Housing approvals,Other approvals,Alts and Adds,Non-residential approvals,Auction Clearence,Total Credit,Housing Credit,Personal Credit,Business Credit,BBSW,AGS 3 year,AGS 5 year,AGS 10 year,Spread (AGS 3yr - BBSW),Spread (AGS 5yr - BBSW),Spread (AGS 10yr - BBSW),TWI,Equity prices,Commodity prices,House prices,RTGS payments,Credit card,Debit card
