,RT_MAI
1978-03-01,0.125985444536426
1978-04-01,0.185105438244961
1978-05-01,0.237421998946475
1978-06-01,0.179522916141352
1978-07-01,0.162477119424599
1978-08-01,0.0622597793606292
1978-09-01,0.0940528593627637
1978-10-01,0.120388840165147
1978-11-01,0.108794946339583
1978-12-01,0.187553508055113
1979-01-01,0.225680188693884
1979-02-01,0.338111563595116
1979-03-01,0.343486877081977
1979-04-01,0.342479874875495
1979-05-01,0.308172271914149
1979-06-01,0.354047112163336
1979-07-01,0.172416563813277
1979-08-01,0.219418981196977
1979-09-01,0.207013784969559
1979-10-01,0.16923760556229
1979-11-01,0.220548994391252
1979-12-01,0.211657948859177
1980-01-01,0.222162701009614
1980-02-01,0.282027664151759
1980-03-01,0.200875476667172
1980-04-01,0.331155609895301
1980-05-01,0.427945551936673
1980-06-01,0.401519531991378
1980-07-01,0.456410828578747
1980-08-01,0.335296716165046
1980-09-01,0.30009843652307
1980-10-01,0.344877780778021
1980-11-01,0.199858801908169
1980-12-01,0.254729851894953
1981-01-01,0.371505918454452
1981-02-01,0.400150465495419
1981-03-01,0.379656805372217
1981-04-01,0.534691898215131
1981-05-01,0.376067545738732
1981-06-01,0.408581261730896
1981-07-01,0.379338007845712
1981-08-01,0.370462738178279
1981-09-01,0.197494201384369
1981-10-01,0.0602655091549726
1981-11-01,-0.00488123367378144
1981-12-01,0.0455287097295406
1982-01-01,-0.0145248487886563
1982-02-01,-0.159676138576792
1982-03-01,-0.245087939903602
1982-04-01,-0.178058058560851
1982-05-01,-0.189305819737101
1982-06-01,-0.323514108680744
1982-07-01,-0.454106154919606
1982-08-01,-0.524947491783688
1982-09-01,-0.720946728476956
1982-10-01,-0.931264773412263
1982-11-01,-1.10594120702001
1982-12-01,-1.36393187823221
1983-01-01,-1.38594096840812
1983-02-01,-1.1492872512481
1983-03-01,-0.903174668784925
1983-04-01,-0.806526457843828
1983-05-01,-0.759304073633703
1983-06-01,-0.495006246231138
1983-07-01,-0.451542225914004
1983-08-01,-0.350963079575124
1983-09-01,-0.278595057248005
1983-10-01,-0.40095593507519
1983-11-01,-0.214599937340172
1983-12-01,0.0576446211281176
1984-01-01,0.166428634156428
1984-02-01,0.237637778837504
1984-03-01,0.400013259492789
1984-04-01,0.465381238816453
1984-05-01,0.510799577416368
1984-06-01,0.471575801304215
1984-07-01,0.309111588952339
1984-08-01,0.501350082449293
1984-09-01,0.533333910981881
1984-10-01,0.585288099895371
1984-11-01,0.591207569262396
1984-12-01,0.601541460093173
1985-01-01,0.535692098338542
1985-02-01,0.640393148469683
1985-03-01,0.607876236248137
1985-04-01,0.546552874465766
1985-05-01,0.583709769483428
1985-06-01,0.443655969587951
1985-07-01,0.441841102487282
1985-08-01,0.542754885853457
1985-09-01,0.559673801605365
1985-10-01,0.601715632269065
1985-11-01,0.671341699331313
1985-12-01,0.55107986627053
1986-01-01,0.437758904928997
1986-02-01,0.365093468579361
1986-03-01,0.203466879659662
1986-04-01,0.120300876256766
1986-05-01,0.0747690381211936
1986-06-01,0.114291576519085
1986-07-01,0.0781176824274021
1986-08-01,-0.0115430052287721
1986-09-01,-0.151339307915932
1986-10-01,-0.162842096918706
1986-11-01,-0.264095300275948
1986-12-01,-0.303093928347912
1987-01-01,-0.196670115319277
1987-02-01,-0.183398491664305
1987-03-01,-0.318118272345488
1987-04-01,-0.227784044191288
1987-05-01,-0.166706284158341
1987-06-01,-0.167340315205407
1987-07-01,0.0245142739007301
1987-08-01,-0.0445689287707362
1987-09-01,-0.0472466216324548
1987-10-01,0.116332926473188
1987-11-01,-0.19524423611286
1987-12-01,-0.0405466094932315
1988-01-01,0.095937859523872
1988-02-01,0.134389948823543
1988-03-01,0.245964081592953
1988-04-01,0.258764969554208
1988-05-01,0.481937232541999
1988-06-01,0.478219871812739
1988-07-01,0.642727369556234
1988-08-01,0.729252494782774
1988-09-01,0.842829611342751
1988-10-01,0.898330794735561
1988-11-01,0.880324042716296
1988-12-01,0.832526474501241
1989-01-01,0.788204997856721
1989-02-01,0.789704131905071
1989-03-01,0.688181738093102
1989-04-01,0.58684685892324
1989-05-01,0.602928786348762
1989-06-01,0.379072973020918
1989-07-01,0.174590728030556
1989-08-01,0.0613610378046472
1989-09-01,0.00492369254719719
1989-10-01,-0.0716964195840777
1989-11-01,-0.182193765510003
1989-12-01,-0.313859105854634
1990-01-01,-0.398689124807593
1990-02-01,-0.29440023322929
1990-03-01,-0.218218508571186
1990-04-01,-0.282455720018536
1990-05-01,-0.458835107085222
1990-06-01,-0.576448402586297
1990-07-01,-0.654417483918972
1990-08-01,-0.801766437563556
1990-09-01,-1.01274384382859
1990-10-01,-1.19329528488313
1990-11-01,-1.39080398790292
1990-12-01,-1.38264565453032
1991-01-01,-1.49038502392102
1991-02-01,-1.46513608695425
1991-03-01,-1.48547905853724
1991-04-01,-1.48865667271409
1991-05-01,-1.33248564272046
1991-06-01,-1.2890912068312
1991-07-01,-1.25934739155164
1991-08-01,-1.18094563485512
1991-09-01,-1.14939777420659
1991-10-01,-1.08938421868192
1991-11-01,-1.1260214166925
1991-12-01,-1.10625626002568
1992-01-01,-0.964339895030976
1992-02-01,-0.94453687660383
1992-03-01,-0.924992392113069
1992-04-01,-0.963413868501032
1992-05-01,-0.92724465701714
1992-06-01,-0.949790936432924
1992-07-01,-1.02911153323221
1992-08-01,-0.779167821104926
1992-09-01,-0.740244275180669
1992-10-01,-0.663041622388808
1992-11-01,-0.666126711062564
1992-12-01,-0.591423312858656
1993-01-01,-0.41677370076883
1993-02-01,-0.480599027556481
1993-03-01,-0.290884653425544
1993-04-01,-0.291658391655812
1993-05-01,-0.210746342898964
1993-06-01,-0.248296121582317
1993-07-01,-0.313016983908294
1993-08-01,-0.269119521165533
1993-09-01,-0.278188896684122
1993-10-01,-0.185844092160936
1993-11-01,-0.0358889665940196
1993-12-01,0.047349011892951
1994-01-01,0.119447064048142
1994-02-01,0.309279656715804
1994-03-01,0.529790843145841
1994-04-01,0.66972616257609
1994-05-01,0.790797489954147
1994-06-01,0.966305497289836
1994-07-01,1.00505087373429
1994-08-01,0.98714756257376
1994-09-01,1.14300648968246
1994-10-01,0.98060223084383
1994-11-01,0.918905724492888
1994-12-01,0.766633950140033
1995-01-01,0.655810647648614
1995-02-01,0.556158997269007
1995-03-01,0.458604914238412
1995-04-01,0.512044215392804
1995-05-01,0.322929902374649
1995-06-01,0.23999389535036
1995-07-01,0.173598363745362
