Date,TARGET,COVID,COVID,COVID,COVID,COVID,COVID,COVID,COVID
1/12/1984,0,0,0,0,0,0,0,0,0
1/03/1985,0,0,0,0,0,0,0,0,0
1/06/1985,0,0,0,0,0,0,0,0,0
1/09/1985,0,0,0,0,0,0,0,0,0
1/12/1985,0,0,0,0,0,0,0,0,0
1/03/1986,0,0,0,0,0,0,0,0,0
1/06/1986,0,0,0,0,0,0,0,0,0
1/09/1986,0,0,0,0,0,0,0,0,0
1/12/1986,0,0,0,0,0,0,0,0,0
1/03/1987,0,0,0,0,0,0,0,0,0
1/06/1987,0,0,0,0,0,0,0,0,0
1/09/1987,0,0,0,0,0,0,0,0,0
1/12/1987,0,0,0,0,0,0,0,0,0
1/03/1988,0,0,0,0,0,0,0,0,0
1/06/1988,0,0,0,0,0,0,0,0,0
1/09/1988,0,0,0,0,0,0,0,0,0
1/12/1988,0,0,0,0,0,0,0,0,0
1/03/1989,0,0,0,0,0,0,0,0,0
1/06/1989,0,0,0,0,0,0,0,0,0
1/09/1989,0,0,0,0,0,0,0,0,0
1/12/1989,0,0,0,0,0,0,0,0,0
1/03/1990,0,0,0,0,0,0,0,0,0
1/06/1990,0,0,0,0,0,0,0,0,0
1/09/1990,0,0,0,0,0,0,0,0,0
1/12/1990,0,0,0,0,0,0,0,0,0
1/03/1991,0,0,0,0,0,0,0,0,0
1/06/1991,0,0,0,0,0,0,0,0,0
1/09/1991,0,0,0,0,0,0,0,0,0
1/12/1991,0,0,0,0,0,0,0,0,0
1/03/1992,0,0,0,0,0,0,0,0,0
1/06/1992,0,0,0,0,0,0,0,0,0
1/09/1992,0,0,0,0,0,0,0,0,0
1/12/1992,0,0,0,0,0,0,0,0,0
1/03/1993,0,0,0,0,0,0,0,0,0
1/06/1993,1,0,0,0,0,0,0,0,0
1/09/1993,1,0,0,0,0,0,0,0,0
1/12/1993,1,0,0,0,0,0,0,0,0
1/03/1994,1,0,0,0,0,0,0,0,0
1/06/1994,1,0,0,0,0,0,0,0,0
1/09/1994,1,0,0,0,0,0,0,0,0
1/12/1994,1,0,0,0,0,0,0,0,0
1/03/1995,1,0,0,0,0,0,0,0,0
1/06/1995,1,0,0,0,0,0,0,0,0
1/09/1995,1,0,0,0,0,0,0,0,0
1/12/1995,1,0,0,0,0,0,0,0,0
1/03/1996,1,0,0,0,0,0,0,0,0
1/06/1996,1,0,0,0,0,0,0,0,0
1/09/1996,1,0,0,0,0,0,0,0,0
1/12/1996,1,0,0,0,0,0,0,0,0
