,MAI
1978-03-01,0.245367586153994
1978-04-01,0.216680180255778
1978-05-01,0.232290631197236
1978-06-01,0.169323522958335
1978-07-01,0.22535418600544
1978-08-01,0.149321285935341
1978-09-01,0.250111028802316
1978-10-01,0.157894549916087
1978-11-01,0.298783701683528
1978-12-01,0.297869730462262
1979-01-01,0.33610216034925
1979-02-01,0.307289421368388
1979-03-01,0.329919822680353
1979-04-01,0.295578351076887
1979-05-01,0.382159826837333
1979-06-01,0.338664181561771
1979-07-01,0.207337695371807
1979-08-01,0.295608064607709
1979-09-01,0.290515023158207
1979-10-01,0.407497624920571
1979-11-01,0.306400905617298
1979-12-01,0.37220603733939
1980-01-01,0.392277924864071
1980-02-01,0.382033985414133
1980-03-01,0.350705609940914
1980-04-01,0.272572306822785
1980-05-01,0.404256774107495
1980-06-01,0.579653108889507
1980-07-01,0.387030000040501
1980-08-01,0.455983349990352
1980-09-01,0.348178534857282
1980-10-01,0.450307420952888
1980-11-01,0.47327316879414
1980-12-01,0.460447431020875
1981-01-01,0.478280866494471
1981-02-01,0.503183121487879
1981-03-01,0.482985586845902
1981-04-01,0.571958995948671
1981-05-01,0.395694018247961
1981-06-01,0.377986713770959
1981-07-01,0.199335301479356
1981-08-01,0.32662901056001
1981-09-01,0.159156084696154
1981-10-01,-0.0505503301861992
1981-11-01,-0.137909224097968
1981-12-01,0.0399467797800671
1982-01-01,-0.127493626179475
1982-02-01,-0.231836836773249
1982-03-01,-0.278476756316048
1982-04-01,-0.41653683229871
1982-05-01,-0.568654226568279
1982-06-01,-0.60712661013113
1982-07-01,-0.707440485869614
1982-08-01,-0.869154049081539
1982-09-01,-0.835092660471631
1982-10-01,-1.12334701323949
1982-11-01,-1.21887968355245
1982-12-01,-1.21078540522415
1983-01-01,-1.01538972592579
1983-02-01,-0.882858378508735
1983-03-01,-1.02788437956124
1983-04-01,-0.717600940067127
1983-05-01,-0.731369587527534
1983-06-01,-0.543205050191864
1983-07-01,-0.392892432455782
1983-08-01,-0.211027576936477
1983-09-01,-0.0704653006493115
1983-10-01,0.143583188318263
1983-11-01,0.364440711374211
1983-12-01,0.467800737927281
1984-01-01,0.480724758335715
1984-02-01,0.630971839651963
1984-03-01,0.769277981563627
1984-04-01,0.809288369287343
1984-05-01,0.876467247093976
1984-06-01,0.787974716909698
1984-07-01,0.819988106380615
1984-08-01,0.870708168659133
1984-09-01,0.785895207914455
1984-10-01,0.738551120627902
1984-11-01,0.733428147435668
1984-12-01,0.646446140503106
1985-01-01,0.788867319530387
1985-02-01,0.683136260818789
1985-03-01,0.645787513296769
1985-04-01,0.6532140214033
1985-05-01,0.803780000734027
1985-06-01,0.624353362400205
1985-07-01,0.700193273602088
1985-08-01,0.749113149003351
1985-09-01,0.650515923972797
1985-10-01,0.793248867161088
1985-11-01,0.617163994900681
1985-12-01,0.567180057215981
1986-01-01,0.533369192576077
1986-02-01,0.337044737287575
1986-03-01,0.429847522121053
1986-04-01,0.354582883242827
1986-05-01,0.424926745584498
1986-06-01,0.345550398893296
1986-07-01,0.00603458335567583
1986-08-01,0.0288290760889531
1986-09-01,0.0187541425374851
1986-10-01,-0.0132432919157163
1986-11-01,-0.0873121352883145
1986-12-01,-0.0310215008682322
1987-01-01,0.0351099997956811
1987-02-01,0.11315956024512
1987-03-01,0.117226536016906
1987-04-01,0.174354755281211
1987-05-01,0.201011607987296
1987-06-01,0.358378886105569
1987-07-01,0.512500825283188
1987-08-01,0.331512791806747
1987-09-01,0.517789270239696
1987-10-01,0.495855200410468
1987-11-01,0.428081877476389
1987-12-01,0.805742290072623
1988-01-01,0.528263397201119
1988-02-01,0.821128260350832
1988-03-01,0.824006502476199
1988-04-01,0.678610886297655
1988-05-01,0.911853454628842
1988-06-01,0.735932120833095
1988-07-01,0.80199174436815
1988-08-01,0.982207319188593
1988-09-01,0.819151282845828
1988-10-01,0.823345052485157
1988-11-01,0.75578166344172
1988-12-01,0.593407110837244
1989-01-01,0.820773676081718
1989-02-01,0.582327018929831
1989-03-01,0.519480163415201
1989-04-01,0.543229608349518
1989-05-01,0.340309765409499
1989-06-01,0.247190552938148
1989-07-01,0.148217572532748
1989-08-01,0.0991948264169991
1989-09-01,-0.048667322453227
1989-10-01,-0.0196686643310028
1989-11-01,-0.10284408435915
1989-12-01,-0.262820930190329
1990-01-01,-0.325552436300188
1990-02-01,-0.32908043464965
1990-03-01,-0.411319335858082
1990-04-01,-0.530685682403834
1990-05-01,-0.687235209196918
1990-06-01,-0.747892556293441
1990-07-01,-0.861871778199078
1990-08-01,-1.17825795252407
1990-09-01,-1.29137946654183
1990-10-01,-1.42903957234724
1990-11-01,-1.42301541882143
1990-12-01,-1.60712196844163
1991-01-01,-1.55454043436783
1991-02-01,-1.64464959208121
1991-03-01,-1.72277727587677
1991-04-01,-1.59253093140892
1991-05-01,-1.39846957759876
1991-06-01,-1.70431322364741
1991-07-01,-1.41572321689693
1991-08-01,-1.32528213414223
1991-09-01,-1.44021232103266
1991-10-01,-1.22931652822503
1991-11-01,-1.3473330650316
1991-12-01,-1.20698380830425
1992-01-01,-1.11994889790307
1992-02-01,-1.17975362484581
1992-03-01,-1.07909530319789
1992-04-01,-1.11031970173153
1992-05-01,-0.99357170578677
1992-06-01,-1.00181609517283
1992-07-01,-0.791641292036205
1992-08-01,-0.894682042845274
1992-09-01,-0.778571706383376
1992-10-01,-0.879670257314663
1992-11-01,-0.83944972030409
1992-12-01,-0.584831958204818
1993-01-01,-0.615970169908813
1993-02-01,-0.551229244617275
1993-03-01,-0.459929378110962
1993-04-01,-0.50517087651055
1993-05-01,-0.422105101769125
1993-06-01,-0.383506176894517
1993-07-01,-0.357988950689097
1993-08-01,-0.271326562720317
1993-09-01,-0.201006851697526
1993-10-01,0.0259636200873079
1993-11-01,0.169210408909161
1993-12-01,0.248563618416646
1994-01-01,0.316550170326609
1994-02-01,0.500850227722235
1994-03-01,0.518411781349802
1994-04-01,0.61348283128729
1994-05-01,0.59152815786655
1994-06-01,0.795840858683784
1994-07-01,0.663953533875474
1994-08-01,0.710606072963778
1994-09-01,0.802177576708704
1994-10-01,0.467398328521128
1994-11-01,0.495396704616508
1994-12-01,0.413354531430879
1995-01-01,0.408499886368982
1995-02-01,0.35966249610385
1995-03-01,0.397669032160941
1995-04-01,0.447423855469328
1995-05-01,0.344422905848014
1995-06-01,0.350231646894913
1995-07-01,0.330010701675532
1995-08-01,0.281958985068187
1995-09-01,0.211072043317332
1995-10-01,0.375033692022769
1995-11-01,0.425674281560051
1995-12-01,0.352232203399999
1996-01-01,0.395052396499159
1996-02-01,0.207208479643152
1996-03-01,0.235707132971888
1996-04-01,0.259021513007314
1996-05-01,0.174495137601021
1996-06-01,0.11657778637964
1996-07-01,0.0696766184921213
1996-08-01,0.01698615842927
1996-09-01,-0.0316336633546953
1996-10-01,-0.0859083193962844
1996-11-01,-0.105547812971475
1996-12-01,-0.0517187729056414
1997-01-01,-0.14806555402837
1997-02-01,-0.131074593886248
1997-03-01,-0.203127415668199
1997-04-01,-0.268077743367959
1997-05-01,-0.165590109961499
1997-06-01,-0.218353140739764
1997-07-01,-0.270161541493588
1997-08-01,-0.117794312884102
1997-09-01,-0.0577891458821459
1997-10-01,-0.0880715960191779
1997-11-01,-0.0679044361366151
1997-12-01,-0.191028761453593
1998-01-01,-0.050909193133374
1998-02-01,-0.156214802157342
1998-03-01,-0.208309363914834
1998-04-01,-0.191944375828289
1998-05-01,-0.379117664408228
1998-06-01,-0.520189211540827
1998-07-01,-0.397359787727208
1998-08-01,-0.368559190973879
1998-09-01,-0.181229991140324
1998-10-01,-0.181842228033672
1998-11-01,-0.0107685683680174
1998-12-01,-0.0464636002589493
1999-01-01,0.16601878364421
1999-02-01,0.16339746972697
1999-03-01,0.246116834639195
1999-04-01,0.15825488448161
1999-05-01,0.248912519897066
1999-06-01,0.210548848821319
1999-07-01,0.243663221005843
1999-08-01,0.287563610208783
1999-09-01,0.410720184914559
1999-10-01,0.36596650726539
1999-11-01,0.397326202313344
1999-12-01,0.322566878191721
2000-01-01,0.264213773879303
2000-02-01,0.142397964721232
2000-03-01,0.271956148993473
2000-04-01,0.0900199565736616
2000-05-01,-0.193013734075801
2000-06-01,0.428234998106687
2000-07-01,-0.279513458957972
2000-08-01,-0.332121681173056
2000-09-01,-0.443535123960005
2000-10-01,-0.832007460286678
2000-11-01,-0.80883519452594
2000-12-01,-0.716090548559748
2001-01-01,-0.82537078298866
2001-02-01,-0.874076282404075
2001-03-01,-0.7711569392278
2001-04-01,-0.694682410423283
2001-05-01,-0.556146030859178
2001-06-01,-0.34839674216818
2001-07-01,-0.230098944527295
2001-08-01,-0.295341503757145
2001-09-01,-0.472832700142936
2001-10-01,-0.413925394758716
2001-11-01,-0.259975092592285
2001-12-01,-0.0887331728716298
2002-01-01,0.168855283586258
2002-02-01,0.254471699009591
2002-03-01,0.350746149566518
2002-04-01,0.339773950914721
2002-05-01,0.488059426575354
2002-06-01,0.246170383708339
2002-07-01,0.349105547574394
2002-08-01,0.397420635477242
2002-09-01,0.367652825044287
2002-10-01,0.356664328032945
2002-11-01,0.441575207666052
2002-12-01,0.32095430523099
2003-01-01,0.373175171905058
2003-02-01,0.219262011379212
2003-03-01,0.209228449848049
2003-04-01,0.25666366474401
2003-05-01,0.31526648167185
2003-06-01,0.292235272313919
2003-07-01,0.554920761711094
2003-08-01,0.574434459200986
2003-09-01,0.661790475988767
2003-10-01,0.69834522617599
2003-11-01,0.735596269312953
2003-12-01,0.598554965841778
2004-01-01,0.587271746968791
2004-02-01,0.564382758560148
2004-03-01,0.656745824097781
2004-04-01,0.670752455205416
2004-05-01,0.603837143497576
2004-06-01,0.600007011043598
2004-07-01,0.492395429710175
2004-08-01,0.512194711580926
2004-09-01,0.581320673739165
2004-10-01,0.587426193724891
2004-11-01,0.536571839389464
2004-12-01,0.548798964050253
2005-01-01,0.460827226124244
2005-02-01,0.427034445424012
2005-03-01,0.293292211210457
2005-04-01,0.239072850807623
2005-05-01,0.267964153530668
2005-06-01,0.233293958794458
2005-07-01,0.227013211536111
2005-08-01,0.203591184413226
2005-09-01,0.119421459896632
2005-10-01,0.0563905513423884
2005-11-01,0.184022722110033
2005-12-01,0.151451233111693
2006-01-01,0.209057417875264
2006-02-01,0.370784536917014
2006-03-01,0.432843065382766
2006-04-01,0.357595146903515
2006-05-01,0.314679510659847
2006-06-01,0.420798589287866
2006-07-01,0.276789705980865
2006-08-01,0.263546876492564
2006-09-01,0.246129879376004
2006-10-01,0.356679947167459
2006-11-01,0.385166473173282
2006-12-01,0.365931609216753
2007-01-01,0.467078547017874
2007-02-01,0.616040052512969
2007-03-01,0.689724410916409
2007-04-01,0.641798487967715
2007-05-01,0.744472229542997
2007-06-01,0.647878128064986
2007-07-01,0.675541323033267
2007-08-01,0.611717892031688
2007-09-01,0.527697836935329
2007-10-01,0.61832181218579
2007-11-01,0.544133937866214
2007-12-01,0.445601878384908
2008-01-01,0.352695427451645
2008-02-01,0.29301890666381
2008-03-01,0.0867989604717816
2008-04-01,-0.135745334769587
2008-05-01,-0.22562588760665
2008-06-01,-0.505198485139201
2008-07-01,-0.599974876705722
2008-08-01,-0.780356129103437
2008-09-01,-1.02873745686109
2008-10-01,-1.37726849525383
2008-11-01,-1.57556406987731
2008-12-01,-1.60293623843645
2009-01-01,-1.66704332911709
2009-02-01,-1.94100946492456
2009-03-01,-1.74363340801375
2009-04-01,-1.42262680042855
2009-05-01,-1.26576053686195
2009-06-01,-0.738360124473773
2009-07-01,-0.635483245981849
2009-08-01,-0.268956347917115
2009-09-01,-0.145382883936272
2009-10-01,0.00821263634292634
2009-11-01,0.206066987139127
2009-12-01,0.15579942088765
2010-01-01,0.189673794651522
2010-02-01,0.220823619186519
2010-03-01,0.13658438818024
2010-04-01,0.085081964719582
2010-05-01,0.134634734041707
2010-06-01,-0.0527211639571137
2010-07-01,-0.123285478355392
2010-08-01,-0.136966493500129
2010-09-01,-0.125275573404348
2010-10-01,-0.158121284356588
2010-11-01,-0.181858972418274
2010-12-01,-0.216244111220325
2011-01-01,-0.322175082059556
2011-02-01,-0.201283904792723
2011-03-01,-0.22084546135734
2011-04-01,-0.254365166542283
2011-05-01,-0.338981738147385
2011-06-01,-0.325746623209453
2011-07-01,-0.366905100551264
2011-08-01,-0.432530992853304
2011-09-01,-0.438319452494967
2011-10-01,-0.332337521785466
2011-11-01,-0.449526014897251
2011-12-01,-0.349116832252803
2012-01-01,-0.417493830906833
2012-02-01,-0.380337177362304
2012-03-01,-0.392394188615004
2012-04-01,-0.485719607296869
2012-05-01,-0.610462311997854
2012-06-01,-0.601707033969366
2012-07-01,-0.62585293395674
2012-08-01,-0.610231256829179
2012-09-01,-0.707336588143527
2012-10-01,-0.846779766112141
2012-11-01,-0.860483450735605
2012-12-01,-0.792621939256476
2013-01-01,-0.722442853670232
2013-02-01,-0.806933525318966
2013-03-01,-0.791149805776987
2013-04-01,-0.853749849172045
2013-05-01,-0.842262447699661
2013-06-01,-0.883454052943304
2013-07-01,-0.801891769702378
2013-08-01,-0.733764689590087
2013-09-01,-0.505616669307998
2013-10-01,-0.515514353333626
2013-11-01,-0.430649941720252
2013-12-01,-0.350538003701015
2014-01-01,-0.194881234466138
2014-02-01,-0.23376263926205
2014-03-01,-0.19701880345626
2014-04-01,-0.297857408283344
2014-05-01,-0.284205005060351
2014-06-01,-0.279996396987773
2014-07-01,-0.235442042693561
2014-08-01,-0.237476147559426
2014-09-01,-0.323286356111402
2014-10-01,-0.0654417233933953
2014-11-01,-0.235225812836062
2014-12-01,-0.192573606262921
2015-01-01,-0.162870661040919
2015-02-01,-0.15172226669243
2015-03-01,-0.0784155456103925
2015-04-01,-0.0908531628772295
2015-05-01,-0.0297100887774288
2015-06-01,-0.00454310425784558
2015-07-01,0.00273322891525596
2015-08-01,0.0640469727544427
2015-09-01,0.0845201001894481
2015-10-01,0.101484149623502
2015-11-01,0.108003713619047
2015-12-01,0.0639126391262193
2016-01-01,-0.000500884803642757
2016-02-01,0.120555616465967
2016-03-01,0.0823699584800072
2016-04-01,0.0385259297331498
2016-05-01,0.169793168604765
2016-06-01,0.11859025093518
2016-07-01,0.0199375478748088
2016-08-01,0.0785980809899923
2016-09-01,0.0901999861794642
2016-10-01,0.148235181030784
2016-11-01,0.13643318262318
2016-12-01,0.259114746588951
2017-01-01,0.233008966101464
2017-02-01,0.194403182404605
2017-03-01,0.417632306326149
2017-04-01,0.385390251718204
2017-05-01,0.436437622528858
2017-06-01,0.482007636257083
2017-07-01,0.428384624038783
2017-08-01,0.437832254131856
2017-09-01,0.408585753439679
2017-10-01,0.438413550780456
2017-11-01,0.478997953035121
2017-12-01,0.489963046682103
2018-01-01,0.521693706716877
2018-02-01,0.719773217145596
2018-03-01,0.633426305386056
2018-04-01,0.602928006692923
2018-05-01,0.570984616294421
2018-06-01,0.428307636491844
2018-07-01,0.422196302414638
2018-08-01,0.450176296948661
2018-09-01,0.282264645059674
2018-10-01,0.162248514822158
2018-11-01,-0.0388504473552672
2018-12-01,-0.0804527886101225
2019-01-01,-0.0111387933532587
2019-02-01,-0.0845196926840526
2019-03-01,-0.142679816568822
2019-04-01,-0.264722434763733
2019-05-01,-0.29287514887318
2019-06-01,-0.165349585267994
2019-07-01,-0.241454282407542
2019-08-01,-0.191208922171093
2019-09-01,-0.153514590725236
2019-10-01,-0.301781035279718
2019-11-01,-0.261187610928747
2019-12-01,-0.312348999066996
2020-01-01,-0.392603865808673
2020-02-01,-0.455842429468804
2020-03-01,-1.6222360277102
2020-04-01,-4.88370398747168
2020-05-01,-2.09993698242169
2020-06-01,-1.28768199544092
2020-07-01,-0.686553281868766
2020-08-01,-0.848459279844421
2020-09-01,-0.46904205720151
2020-10-01,0.0217488648772061
2020-11-01,0.647876072472501
2020-12-01,0.601996690595813
2021-01-01,0.7165224137038
2021-02-01,1.0864071085476
2021-03-01,1.26744036940571
2021-04-01,1.33724748719098
2021-05-01,1.38028225446675
2021-06-01,0.921205815433478
2021-07-01,0.345784387682339
2021-08-01,-0.210480402370434
2021-09-01,-0.199570625375489
2021-10-01,0.259639620797774
2021-11-01,1.04261590434603
2021-12-01,0.407573717973667
2022-01-01,0.4138897852864
2022-02-01,0.867555226406354
2022-03-01,0.797176950133307
2022-04-01,0.859911752748058
2022-05-01,0.884389747466868
2022-06-01,0.728784059437428
2022-07-01,0.741447786366208
2022-08-01,0.78605953394627
2022-09-01,0.588282848933704
